@1397848258473 | OLTP Data Parser: Initiated
@1397848258776 | ???????????? ???????? account 27: Created with balance $41758.78147947918
@1397848258779 | ???????????? ???????? account 28: Created with balance $44502.64415906429
@1397848258783 | ???????????? ???????? account 29: Created with balance $46026.64377139501
@1397848258786 | ???????????? ???????? account 30: Created with balance $39208.816640867866
@1397848258789 | ???????????? ???????? account 31: Created with balance $47011.1549019735
@1397848258793 | ???????????? ???????? account 32: Created with balance $39172.53412679906
@1397848258796 | ???????????? ???????? account 33: Created with balance $41354.36274653257
@1397848258799 | ???????????? ???????? account 34: Created with balance $31823.996620561644
@1397848258803 | ???????????? ???????? account 35: Created with balance $32936.61897690838
@1397848258806 | ???????????? ???????? account 36: Created with balance $30955.079415145243
@1397848258810 | ???????????? ???????? account 37: Created with balance $18229.039497098664
@1397848258813 | ???????????? ???????? account 38: Created with balance $32495.081597542776
@1397848258817 | ???????????? ???????? account 39: Created with balance $47013.94294824456
@1397848258820 | ???????????? ???????? account 40: Created with balance $53180.365230681346
@1397848258824 | ???????????? ???????? account 41: Created with balance $44243.97935983875
@1397848258828 | ???????????? ???????? account 42: Created with balance $32968.90864299974
@1397848258831 | ???????????? ???????? account 43: Created with balance $43746.518152022385
@1397848258835 | ???????????? ???????? account 44: Created with balance $60951.44408034794
@1397848258838 | ???????????? ???????? account 45: Created with balance $34805.36759478362
@1397848258842 | ???????????? ???????? account 46: Created with balance $34689.78824335458
@1397848258846 | ???????????? ???????? account 47: Created with balance $25262.71263023575
@1397848258849 | ???????????? ???????? account 48: Created with balance $58082.689337359894
@1397848258853 | ???????????? ???????? account 49: Created with balance $50418.909495714455
@1397848258856 | ???????????? ???????? account 50: Created with balance $47330.48606740421
@1397848258860 | ???????????? ???????? account 51: Created with balance $18538.661085915224
@1397848258864 | ???????????? ???????? account 52: Created with balance $25013.778311766542
@1397848258868 | ???????????? ???????? account 53: Created with balance $43490.38832938156
@1397848258871 | ???????????? ???????? account 54: Created with balance $25499.420611950372
@1397848258875 | ???????????? ???????? account 55: Created with balance $19489.545084753492
@1397848258879 | ???????????? ???????? account 56: Created with balance $15612.090513636549
@1397848258883 | ???????????? ???????? account 57: Created with balance $47887.057901434106
@1397848258887 | ???????????? ???????? account 58: Created with balance $49245.45825101449
@1397848258890 | ???????????? ???????? account 59: Created with balance $53942.901040245226
@1397848258894 | ???????????? ???????? account 60: Created with balance $64544.1701496196
@1397848258898 | ???????????? ???????? account 61: Created with balance $56383.857181519124
@1397848258902 | ???????????? ???????? account 62: Created with balance $17760.830645961087
@1397848258906 | ???????????? ???????? account 63: Created with balance $49576.49235534174
@1397848258910 | ???????????? ???????? account 64: Created with balance $51517.88845011434
@1397848258914 | ???????????? ???????? account 65: Created with balance $52431.83782383617
@1397848258918 | ???????????? ???????? account 66: Created with balance $59693.46229911124
@1397848258922 | ???????????? ???????? account 67: Created with balance $57999.73171348942
@1397848258926 | ???????????? ???????? account 68: Created with balance $62921.739441334474
@1397848258930 | ???????????? ???????? account 69: Created with balance $62536.221903563135
@1397848258934 | ???????????? ???????? account 70: Created with balance $47945.879717637275
@1397848258938 | ???????????? ???????? account 71: Created with balance $36014.81045824193
@1397848258942 | ???????????? ???????? account 72: Created with balance $34796.86908883636
@1397848258946 | ???????????? ???????? account 73: Created with balance $57555.47365589488
@1397848258950 | ???????????? ???????? account 74: Created with balance $30356.608077726258
@1397848258955 | ???????????? ???????? account 75: Created with balance $25893.45891033906
@1397848258959 | ???????????? ???????? account 76: Created with balance $47281.62223835761
@1397848258963 | ???????????? ???????? account 77: Created with balance $40030.81937015071
@1397848258967 | ???????????? ???????? account 78: Created with balance $58100.52570619906
@1397848258971 | ???????????? ???????? account 79: Created with balance $58945.508654596226
@1397848258975 | ???????????? ???????? account 80: Created with balance $64270.42185400295
@1397848258980 | ???????????? ???????? account 81: Created with balance $46530.145867266416
@1397848258985 | ???????????? ???????? account 82: Created with balance $15307.054173843513
@1397848258989 | ???????????? ???????? account 83: Created with balance $30078.63290505842
@1397848258994 | ???????????? ???????? account 84: Created with balance $23416.461571852546
@1397848258998 | ???????????? ???????? account 85: Created with balance $56357.64053445941
@1397848259002 | ???????????? ???????? account 86: Created with balance $29648.69941450342
@1397848259007 | ???????????? ???????? account 87: Created with balance $16561.265530885674
@1397848259013 | ???????????? ???????? account 88: Created with balance $51524.32244811399
@1397848259018 | ???????????? ???????? account 89: Created with balance $64115.33818524695
@1397848259024 | ???????????? ???????? account 90: Created with balance $59978.34361211336
@1397848259029 | Zion's Bank account 0: Created with balance $34078.20609808968
@1397848259033 | Zion's Bank account 1: Created with balance $61030.52671864212
@1397848259037 | Zion's Bank account 2: Created with balance $38102.42842813687
@1397848259044 | Zion's Bank account 3: Created with balance $52611.42619322481
@1397848259048 | Zion's Bank account 4: Created with balance $37036.43883206807
@1397848259054 | Zion's Bank account 5: Created with balance $15466.683843348086
@1397848259058 | Zion's Bank account 6: Created with balance $40957.877565870906
@1397848259065 | Zion's Bank account 7: Created with balance $27258.73951588603
@1397848259070 | Zion's Bank account 8: Created with balance $61735.79370534634
@1397848259075 | Zion's Bank account 9: Created with balance $32318.03051953876
@1397848259079 | Zion's Bank account 10: Created with balance $38164.11356756637
@1397848259084 | Zion's Bank account 11: Created with balance $49880.644355664284
@1397848259088 | Zion's Bank account 12: Created with balance $62824.384812097516
@1397848259093 | Zion's Bank account 13: Created with balance $19477.11259456447
@1397848259098 | Zion's Bank account 14: Created with balance $28699.45292757149
@1397848259102 | Zion's Bank account 15: Created with balance $45261.9014867336
@1397848259106 | Zion's Bank account 16: Created with balance $42496.845724986706
@1397848259113 | Zion's Bank account 17: Created with balance $30763.684064991485
@1397848259119 | Zion's Bank account 18: Created with balance $45033.103740815204
@1397848259125 | Zion's Bank account 19: Created with balance $32049.017642613027
@1397848259130 | Zion's Bank account 20: Created with balance $46541.51447871598
@1397848259135 | Zion's Bank account 21: Created with balance $62902.32221313617
@1397848259141 | Zion's Bank account 22: Created with balance $64831.382766528586
@1397848259148 | Zion's Bank account 23: Created with balance $30146.10581228743
@1397848259153 | Zion's Bank account 24: Created with balance $38516.213997687635
@1397848259158 | Zion's Bank account 25: Created with balance $32902.8896791352
@1397848259163 | Zion's Bank account 26: Created with balance $47181.283191183815
@1397848259168 | Zion's Bank account 27: Created with balance $34509.43983323408
@1397848259175 | Zion's Bank account 28: Created with balance $18313.918549406713
@1397848259181 | Zion's Bank account 29: Created with balance $52281.704352206354
@1397848259186 | Zion's Bank account 30: Created with balance $50375.15950437916
@1397848259191 | Zion's Bank account 31: Created with balance $58380.95535019903
@1397848259196 | Zion's Bank account 32: Created with balance $62687.69673612173
@1397848259203 | Zion's Bank account 33: Created with balance $63266.32782895142
@1397848259209 | Zion's Bank account 34: Created with balance $55704.43160747346
@1397848259215 | Zion's Bank account 35: Created with balance $29616.598917283132
@1397848259220 | Zion's Bank account 36: Created with balance $40440.89654140278
@1397848259225 | Zion's Bank account 37: Created with balance $53405.99864278249
@1397848259230 | Zion's Bank account 38: Created with balance $49714.76855984735
@1397848259235 | Zion's Bank account 39: Created with balance $31941.866706227254
@1397848259242 | Zion's Bank account 40: Created with balance $29350.61116580597
@1397848259249 | Zion's Bank account 41: Created with balance $36866.04202921098
@1397848259256 | Zion's Bank account 42: Created with balance $54818.40411420866
@1397848259261 | Zion's Bank account 43: Created with balance $28166.95587233058
@1397848259266 | Zion's Bank account 44: Created with balance $61155.37221132489
@1397848259273 | MetLife account 0: Created with balance $28741.749406601943
@1397848259278 | MetLife account 1: Created with balance $49262.72874062731
@1397848259285 | MetLife account 2: Created with balance $26306.082841793257
@1397848259292 | MetLife account 3: Created with balance $46498.2550257938
@1397848259298 | MetLife account 4: Created with balance $57090.03623745016
@1397848259304 | MetLife account 5: Created with balance $32996.942498888035
@1397848259309 | MetLife account 6: Created with balance $44551.13827026052
@1397848259314 | MetLife account 7: Created with balance $40546.06631609493
@1397848259320 | MetLife account 8: Created with balance $37985.97616719843
@1397848259325 | MetLife account 9: Created with balance $55054.21365740382
@1397848259332 | MetLife account 10: Created with balance $55635.8579903683
@1397848259338 | MetLife account 11: Created with balance $29445.59857066816
@1397848259343 | MetLife account 12: Created with balance $47459.61397403806
@1397848259348 | MetLife account 13: Created with balance $45143.820814790895
@1397848259354 | MetLife account 14: Created with balance $63347.588719758314
@1397848259361 | MetLife account 15: Created with balance $31248.52504871959
@1397848259367 | MetLife account 16: Created with balance $27781.681071592
@1397848259374 | MetLife account 17: Created with balance $50666.87799273596
@1397848259381 | MetLife account 18: Created with balance $24518.223043635633
@1397848259387 | MetLife account 19: Created with balance $55229.63012666719
@1397848259392 | MetLife account 20: Created with balance $32480.05597348235
@1397848259398 | MetLife account 21: Created with balance $41769.501905544224
@1397848259403 | MetLife account 22: Created with balance $36962.11929765766
@1397848259408 | MetLife account 23: Created with balance $51700.6284697383
@1397848259416 | MetLife account 24: Created with balance $40921.7560172265
@1397848259422 | MetLife account 25: Created with balance $28419.114065900758
@1397848259428 | MetLife account 26: Created with balance $60307.89032729424
@1397848259434 | MetLife account 27: Created with balance $64401.729762011084
@1397848259439 | MetLife account 28: Created with balance $44111.05534799914
@1397848259445 | MetLife account 29: Created with balance $56671.83552911174
@1397848259451 | MetLife account 30: Created with balance $20907.92534891954
@1397848259458 | MetLife account 31: Created with balance $36474.89940242408
@1397848259464 | MetLife account 32: Created with balance $46685.45037104879
@1397848259472 | MetLife account 33: Created with balance $44309.61777383759
@1397848259478 | MetLife account 34: Created with balance $62271.000577594736
@1397848259486 | MetLife account 35: Created with balance $18513.24656821145
@1397848259491 | MetLife account 36: Created with balance $52028.37961735923
@1397848259498 | MetLife account 37: Created with balance $49562.226774356415
@1397848259504 | MetLife account 38: Created with balance $16989.205108393533
@1397848259512 | MetLife account 39: Created with balance $54394.281974905374
@1397848259520 | MetLife account 40: Created with balance $44704.98260315251
@1397848259526 | MetLife account 41: Created with balance $20285.27902844283
@1397848259531 | MetLife account 42: Created with balance $20483.577278538753
@1397848259537 | MetLife account 43: Created with balance $49509.281323965035
@1397848259543 | MetLife account 44: Created with balance $54456.74620798023
@1397848259549 | MetLife account 45: Created with balance $34304.184426018866
@1397848259554 | MetLife account 46: Created with balance $49460.42637190274
@1397848259563 | MetLife account 47: Created with balance $18355.05165445515
@1397848259571 | MetLife account 48: Created with balance $44424.19823931277
@1397848259577 | MetLife account 49: Created with balance $24506.416132426617
@1397848259583 | MetLife account 50: Created with balance $28032.850424949946
@1397848259589 | MetLife account 51: Created with balance $43301.3748177402
@1397848259595 | Capitol One account 0: Created with balance $49744.27705246224
@1397848259600 | Capitol One account 1: Created with balance $61652.5897206189
@1397848259609 | Capitol One account 2: Created with balance $37822.87668101542
@1397848259615 | Capitol One account 3: Created with balance $55171.94919544993
@1397848259622 | Capitol One account 4: Created with balance $58866.24671437708
@1397848259628 | Capitol One account 5: Created with balance $33615.49267022119
@1397848259634 | Capitol One account 6: Created with balance $32128.41157776292
@1397848259640 | Capitol One account 7: Created with balance $26437.109192914148
@1397848259646 | Capitol One account 8: Created with balance $17231.40836758177
@1397848259652 | Capitol One account 9: Created with balance $53359.54237078291
@1397848259658 | Capitol One account 10: Created with balance $24427.094650808787
@1397848259664 | Capitol One account 11: Created with balance $61299.632950345935
@1397848259670 | Capitol One account 12: Created with balance $15964.436947282855
@1397848259679 | Capitol One account 13: Created with balance $47303.43975630078
@1397848259688 | Capitol One account 14: Created with balance $17938.740076196078
@1397848259695 | Capitol One account 15: Created with balance $27194.225335188734
@1397848259701 | Capitol One account 16: Created with balance $20248.67538495866
@1397848259710 | Capitol One account 17: Created with balance $56099.67593272537
@1397848259719 | Capitol One account 18: Created with balance $33851.63627163827
@1397848259726 | Capitol One account 19: Created with balance $20373.293327252915
@1397848259733 | Transaction Queue: Initiated
@1397848259740 | OLTP Data Parser: 1 transactions in queue
@1397848259746 | Worker 0: Initiated
@1397848259753 | Worker 1: Initiated
@1397848259759 | Worker 0: Started
@1397848259766 | Worker 1: Started
@1397848259773 | Worker 2: Initiated
@1397848259779 | Worker 0: committing Transaction 0
@1397848259786 | Worker 2: Started
@1397848259793 | Worker 3: Initiated
@1397848259799 | Worker 1: committing Transaction 1
@1397848259806 | Transaction 1: Verifying
@1397848259812 | OLTP Data Parser: 1 transactions in queue
@1397848259819 | Transaction 0: Verifying
@1397848259826 | Worker 3: Started
@1397848259833 | Worker 4: Initiated
@1397848259840 | Worker 4: Started
@1397848259860 | OLTP Data Parser: 1 transactions in queue
@1397848259866 | Worker 2: committing Transaction 2
@1397848259873 | Transaction 2: Verifying
@1397848259907 | OLTP Data Parser: 1 transactions in queue
@1397848259914 | Worker 4: committing Transaction 3
@1397848259921 | Transaction 3: Verifying
@1397848259954 | OLTP Data Parser: 1 transactions in queue
@1397848259962 | Worker 3: committing Transaction 4
@1397848259968 | Transaction 4: Verifying
@1397848260002 | OLTP Data Parser: 1 transactions in queue
@1397848260049 | OLTP Data Parser: 2 transactions in queue
@1397848260096 | OLTP Data Parser: 3 transactions in queue
@1397848260142 | OLTP Data Parser: 4 transactions in queue
@1397848260190 | OLTP Data Parser: 5 transactions in queue
@1397848260238 | OLTP Data Parser: 6 transactions in queue
@1397848260273 | Worker 5: Initiated
@1397848260281 | Worker 6: Initiated
@1397848260288 | OLTP Data Parser: 7 transactions in queue
@1397848260294 | Worker 5: Started
@1397848260301 | Worker 5: committing Transaction 5
@1397848260308 | Transaction 5: Verifying
@1397848260316 | Worker 6: Started
@1397848260323 | Worker 7: Initiated
@1397848260329 | Worker 6: committing Transaction 6
@1397848260336 | Transaction 6: Verifying
@1397848260343 | OLTP Data Parser: 6 transactions in queue
@1397848260350 | Worker 7: Started
@1397848260357 | Worker 8: Initiated
@1397848260364 | Worker 7: committing Transaction 7
@1397848260372 | Transaction 7: Verifying
@1397848260379 | Worker 8: Started
@1397848260387 | Worker 8: committing Transaction 8
@1397848260394 | Transaction 8: Verifying
@1397848260403 | Worker 9: Initiated
@1397848260410 | OLTP Data Parser: 5 transactions in queue
@1397848260417 | Worker 9: Started
@1397848260424 | Worker 10: Initiated
@1397848260432 | Worker 9: committing Transaction 9
@1397848260439 | Transaction 9: Verifying
@1397848260446 | Worker 10: Started
@1397848260453 | Worker 11: Initiated
@1397848260460 | OLTP Data Parser: 4 transactions in queue
@1397848260467 | Worker 10: committing Transaction 10
@1397848260474 | Transaction 10: Verifying
@1397848260481 | Worker 11: Started
@1397848260488 | Worker 12: Initiated
@1397848260495 | Worker 11: committing Transaction 11
@1397848260502 | Transaction 11: Verifying
@1397848260509 | Worker 12: Started
@1397848260515 | Worker 13: Initiated
@1397848260522 | Worker 12: committing Transaction 12
@1397848260529 | Transaction 12: Verifying
@1397848260536 | OLTP Data Parser: 4 transactions in queue
@1397848260543 | Worker 13: Started
@1397848260550 | Worker 13: committing Transaction 13
@1397848260557 | Transaction 13: Verifying
@1397848260564 | Worker 14: Initiated
@1397848260571 | Worker 15: Initiated
@1397848260578 | Worker 14: Started
@1397848260585 | Worker 14: committing Transaction 14
@1397848260592 | Transaction 14: Verifying
@1397848260599 | OLTP Data Parser: 3 transactions in queue
@1397848260606 | Worker 15: Started
@1397848260613 | Worker 16: Initiated
@1397848260620 | Worker 15: committing Transaction 15
@1397848260628 | Transaction 15: Verifying
@1397848260635 | Worker 16: Started
@1397848260642 | Worker 16: committing Transaction 16
@1397848260649 | Transaction 16: Verifying
@1397848260656 | Worker 17: Initiated
@1397848260664 | OLTP Data Parser: 1 transactions in queue
@1397848260671 | Worker 17: Started
@1397848260678 | Worker 18: Initiated
@1397848260685 | Worker 17: committing Transaction 17
@1397848260693 | Transaction 17: Verifying
@1397848260700 | Worker 18: Started
@1397848260707 | Worker 19: Initiated
@1397848260716 | Worker 18: committing Transaction 18
@1397848260723 | Transaction 18: Verifying
@1397848260731 | OLTP Data Parser: 1 transactions in queue
@1397848260738 | Worker 19: Started
@1397848260747 | Worker 20: Initiated
@1397848260757 | Worker 21: Initiated
@1397848260765 | Worker 20: Started
@1397848260773 | Worker 21: Started
@1397848260782 | Worker 22: Initiated
@1397848260789 | Worker 19: committing Transaction 19
@1397848260796 | Transaction 19: Verifying
@1397848260803 | OLTP Data Parser: 1 transactions in queue
@1397848260811 | Worker 22: Started
@1397848260821 | Worker 23: Initiated
@1397848260829 | Worker 24: Initiated
@1397848260841 | Worker 23: Started
@1397848260849 | Worker 25: Initiated
@1397848260856 | Worker 24: Started
@1397848260864 | Worker 25: Started
@1397848260871 | Worker 26: Initiated
@1397848260878 | Worker 20: committing Transaction 20
@1397848260886 | Transaction 20: Verifying
@1397848260893 | OLTP Data Parser: 1 transactions in queue
@1397848260900 | Worker 26: Started
@1397848260908 | Worker 27: Initiated
@1397848260918 | Worker 28: Initiated
@1397848260926 | Worker 27: Started
@1397848260933 | Worker 28: Started
@1397848260943 | Worker 29: Initiated
@1397848260951 | Worker 23: committing Transaction 21
@1397848260959 | Transaction 21: Verifying
@1397848260966 | OLTP Data Parser: 1 transactions in queue
@1397848260974 | Worker 29: Started
@1397848260981 | Worker 30: Initiated
@1397848260989 | Worker 31: Initiated
@1397848260998 | Worker 30: Started
@1397848261006 | Worker 31: Started
@1397848261014 | OLTP Data Parser: 1 transactions in queue
@1397848261021 | Worker 32: Initiated
@1397848261029 | Worker 22: committing Transaction 22
@1397848261036 | Transaction 22: Verifying
@1397848261044 | Worker 32: Started
@1397848261051 | Worker 33: Initiated
@1397848261059 | Worker 34: Initiated
@1397848261066 | Worker 21: committing Transaction 23
@1397848261074 | Transaction 23: Verifying
@1397848261082 | OLTP Data Parser: 1 transactions in queue
@1397848261089 | Worker 33: Started
@1397848261099 | Worker 34: Started
@1397848261107 | Worker 35: Initiated
@1397848261115 | Worker 36: Initiated
@1397848261123 | Worker 35: Started
@1397848261130 | Worker 32: committing Transaction 24
@1397848261138 | Transaction 24: Verifying
@1397848261146 | OLTP Data Parser: 1 transactions in queue
@1397848261153 | Worker 36: Started
@1397848261161 | Worker 37: Initiated
@1397848261168 | Worker 38: Initiated
@1397848261176 | Worker 37: Started
@1397848261184 | Worker 38: Started
@1397848261191 | Worker 39: Initiated
